com.samsung.shealth.activity.day_summary,6211031,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
5487,3477365,90,0,2021-10-09 10:45:01.796,2021-10-08 04:00:00.546,-1,480000,63,4404.466,281.3042,e35b2735-4b15-41e2-825e-557535ca8ea6.extra_data.json,Idp7XEd6un,19600,com.sec.android.app.shealth,3457765,31200000,e35b2735-4b15-41e2-825e-557535ca8ea6,1633651200000,
4916,3164021,,0,2021-08-17 02:40:13.993,2021-08-16 04:00:00.532,60,420000,86,3847.6484,249.90674,096d4b05-bcaf-43f5-ae6d-62e96e25b30c.extra_data.json,Idp7XEd6un,21938,com.sec.android.app.shealth,3142083,31080000,096d4b05-bcaf-43f5-ae6d-62e96e25b30c,1629072000000,
4064,2688689,,0,2021-08-16 03:31:04.044,2021-08-15 04:00:00.926,60,120000,73,3249.3557,208.66742,9643ba0a-7632-4bde-a18e-9a96a938b253.extra_data.json,Idp7XEd6un,2800,com.sec.android.app.shealth,2685889,32400000,9643ba0a-7632-4bde-a18e-9a96a938b253,1628985600000,
4449,3597460,90,711840,2022-01-19 23:12:08.752,2021-12-23 05:00:01.060,-1,903060,64,3308.445,320.24106,2c70ff2f-3937-40e3-babc-dc5a1c1c7cde.extra_data.json,Idp7XEd6un,8000,com.sec.android.app.shealth,2877620,28800000,2c70ff2f-3937-40e3-babc-dc5a1c1c7cde,1640217600000,
7110,4948715,,0,2020-11-16 15:51:08.409,2020-11-15 05:00:00.307,60,1017180,136,5698.645,360.92462,08535102-d2d1-46f1-a69f-f44b5402e99d.extra_data.json,Idp7XEd6un,8800,com.sec.android.app.shealth,4939915,40680000,08535102-d2d1-46f1-a69f-f44b5402e99d,1605398400000,
6720,4459790,,0,2020-12-28 14:13:01.625,2020-12-27 05:00:00.795,60,60000,123,5350.3643,343.6206,daa58436-d39d-4845-883a-ae06702f3337.extra_data.json,Idp7XEd6un,17600,com.sec.android.app.shealth,4442190,34380000,daa58436-d39d-4845-883a-ae06702f3337,1609027200000,
2295,1464341,,0,2021-02-15 14:13:46.221,2021-02-14 05:00:01.038,60,240000,40,1872.0309,120.699066,45439634-b711-48a4-871a-cf2ee57da20d.extra_data.json,Idp7XEd6un,23180,com.sec.android.app.shealth,1441161,32220000,45439634-b711-48a4-871a-cf2ee57da20d,1613260800000,
6586,4326046,,0,2021-07-02 12:28:45.561,2021-07-01 04:00:00.835,60,300000,118,5299.251,342.35306,2fd4ffdb-60db-4376-a944-10d3ac17f014.extra_data.json,Idp7XEd6un,19519,com.sec.android.app.shealth,4306527,30720000,2fd4ffdb-60db-4376-a944-10d3ac17f014,1625097600000,
3483,2308688,90,0,2022-01-14 17:10:27.403,2022-01-13 05:00:01.378,-1,60000,42,2731.5627,176.51865,5f96f134-3486-4d8f-8f8f-d639a537a9cf.extra_data.json,Idp7XEd6un,11600,com.sec.android.app.shealth,2297088,28920000,5f96f134-3486-4d8f-8f8f-d639a537a9cf,1642032000000,
1761,1164975,90,0,2021-12-16 02:43:39.950,2021-12-15 05:00:00.867,-1,50025,21,1374.424,90.18065,b8fd8e97-5841-4d65-bc4d-f14fb9a2441b.extra_data.json,Idp7XEd6un,14400,com.sec.android.app.shealth,1150575,30660000,b8fd8e97-5841-4d65-bc4d-f14fb9a2441b,1639526400000,
4216,2723543,90,0,2021-10-03 13:25:51.967,2021-10-02 04:00:01.035,-1,240000,50,3430.2642,220.19298,ea357f61-6775-49b1-822c-628c8c452ad6.extra_data.json,Idp7XEd6un,16400,com.sec.android.app.shealth,2707143,35520000,ea357f61-6775-49b1-822c-628c8c452ad6,1633132800000,
8407,5560761,90,1253500,2022-03-26 15:59:40.551,2022-03-26 15:59:00.785,-1,1317920,101,5076.817,492.89825,21ac64cd-a1f6-4eb6-8afc-a4eaa382155f.extra_data.json,Idp7XEd6un,4400,com.sec.android.app.shealth,4302861,26520000,21ac64cd-a1f6-4eb6-8afc-a4eaa382155f,1646697600000,
3900,2576255,90,0,2021-12-12 04:52:40.414,2021-12-11 05:00:01.196,-1,120000,46,3066.579,197.37053,51bca050-c6de-42ed-9fef-df698c85f5eb.extra_data.json,Idp7XEd6un,18400,com.sec.android.app.shealth,2557855,32160000,51bca050-c6de-42ed-9fef-df698c85f5eb,1639180800000,
4967,3182924,,0,2021-05-14 01:26:15.297,2021-05-13 04:00:00.657,60,742260,86,3961.3699,252.3011,c99321bc-925d-45d0-8593-f656df6664cd.extra_data.json,Idp7XEd6un,5600,com.sec.android.app.shealth,3177324,31020000,c99321bc-925d-45d0-8593-f656df6664cd,1620864000000,
4649,3016889,,0,2021-01-31 15:18:25.986,2021-01-30 05:00:01.750,60,120000,81,3746.4788,240.05563,f71050be-15c4-4412-9922-bf84e0eb374c.extra_data.json,Idp7XEd6un,34404,com.sec.android.app.shealth,2982485,38460000,f71050be-15c4-4412-9922-bf84e0eb374c,1611964800000,
6750,4367973,,0,2020-10-30 13:14:01.000,2020-10-30 13:13:26.402,-1,2336800,0,5079.3306,239.55664,5083ce87-3bcd-4385-9e67-2232152a8942.extra_data.json,Idp7XEd6un,1200,com.sec.android.app.shealth,4366773,34380000,5083ce87-3bcd-4385-9e67-2232152a8942,1602979200000,
3210,3773698,90,1712960,2021-10-04 12:20:28.493,2021-10-03 04:00:01.238,-1,1048480,68,2488.4836,606.86145,6ab4dafd-1b9d-44f4-aa8b-82ed6e0a6fa7.extra_data.json,Idp7XEd6un,6000,com.sec.android.app.shealth,2054738,33600000,6ab4dafd-1b9d-44f4-aa8b-82ed6e0a6fa7,1633219200000,
8816,5854994,90,0,2022-03-26 15:59:42.417,2022-03-26 15:59:01.292,-1,1311620,107,6924.415,515.7381,a552e5e5-c455-4c03-b78c-a91ffe9ea55c.extra_data.json,Idp7XEd6un,9846,com.sec.android.app.shealth,5845148,17340000,a552e5e5-c455-4c03-b78c-a91ffe9ea55c,1647475200000,
12489,8229288,,0,2021-07-25 13:13:21.996,2021-07-24 04:00:02.750,60,180000,226,10069.24,650.34216,070213cb-bb56-4946-a527-26098ed01e7c.extra_data.json,Idp7XEd6un,43775,com.sec.android.app.shealth,8185513,30960000,070213cb-bb56-4946-a527-26098ed01e7c,1627084800000,
