com.samsung.shealth.rewards,6211031,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-05-17 23:45:23.289,,,,2021-05-18 23:01:26.622,2021-05-17 23:45:23.334,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":74,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-05-17 23:45:23.289,bf128b17-6d87-4b82-a319-dd55bdc708a1,0,
,2020-11-04 02:13:40.545,,,,2020-11-06 01:14:20.706,2020-11-04 01:15:03.942,,,goal_activity_reward_most_active_day,UTC-0500,"{""mIsCompleted"":false,""mValue"":97,""mValue2"":0}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-04 01:15:03.914,4cbdc979-e215-4360-80bd-7f786e9600bc,0,
,2020-11-12 22:38:14.769,,,,2020-11-14 18:13:07.930,2020-11-12 22:38:14.895,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":92,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-12 22:38:14.769,0aa7562d-baab-4a99-b338-50b1c3f7be29,0,
,2021-01-09 01:30:11.077,,,,2021-01-15 22:16:17.949,2021-01-09 01:30:11.108,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-01-09 01:30:11.077,ae39b8bd-023b-4bb7-b1bc-31b89324fb9d,0,
,2021-01-07 03:05:22.111,,,,2021-01-09 01:30:11.088,2021-01-07 03:05:22.156,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":76,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-01-07 03:05:22.111,6382782d-df0a-4ef2-907a-aa5dbfe038c1,0,
,2021-05-21 22:04:08.188,,,,2021-05-22 18:45:01.684,2021-05-21 22:04:08.223,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":77,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-05-21 22:04:08.188,593262a6-8915-442d-9fb2-2b6beed142a0,0,
,2021-09-18 02:53:25.965,,,,2021-09-18 15:47:43.386,2021-09-18 02:53:26.016,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":87,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-09-18 02:53:25.965,235ae654-19ac-4d75-bd2f-cd4dc5e8e695,0,
,2021-08-09 21:55:43.512,,,,2021-08-12 00:09:00.327,2021-08-09 21:55:43.579,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":115,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-09 21:55:43.512,922173fb-57e6-4c92-838f-dd9f20ec70c1,0,
,2020-11-14 18:13:07.868,,,,2020-11-15 21:36:28.871,2020-11-14 18:13:07.940,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":138,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-11-14 18:13:07.868,206cfaf2-1c0e-447e-89e5-de9d5c1efbd5,0,
,2021-02-02 01:04:00.336,,,,2021-02-06 01:25:42.711,2021-02-02 01:04:00.367,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":111,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-02-02 01:04:00.336,83a73834-289b-4d90-9f2d-ed284f3f6601,0,
