com.samsung.shealth.tracker.pedometer_step_count,6211031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5572,4,0,10,2022-02-13 19:23:00.000,230002,,2022-02-13 19:23:09.120,2022-02-13 19:23:09.120,10,1.3888888,7.74,0.53,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 19:23:59.999,5eb5582a-bb61-edb9-5e6d-ba853055141e,
56478,4,0,99,2022-02-13 21:09:00.000,,,2022-02-13 21:09:59.523,2022-02-13 21:09:05.083,99,1.3771788,77.780945,4.872925,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:10:00.000,5bbeab81-d844-41e2-bb55-f4b58d9b2b46,
22421,4,0,33,2022-02-13 23:21:00.000,,,2022-02-13 23:24:04.666,2022-02-13 23:24:04.666,33,1.176351,26.375977,1.6438293,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 23:22:00.000,49ec3d21-def9-44d5-b104-a50fb8fcf787,
54145,4,0,92,2022-02-13 21:08:00.000,230002,,2022-02-13 21:15:07.142,2022-02-13 21:15:07.142,92,1.3055556,70.69,4.6,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 21:08:59.999,b3b18c1f-808f-a3ad-65b7-0d507ecba723,
25226,4,0,33,2022-02-13 20:43:00.000,,,2022-02-13 20:43:59.338,2022-02-13 20:43:59.338,33,0.97520417,24.600555,1.6917706,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 20:44:00.000,87e26618-489a-492d-8a4a-8be8111c88d2,
27155,4,0,42,2022-02-15 14:02:00.000,,,2022-02-15 14:03:02.774,2022-02-15 14:02:31.168,42,1.185598,32.195312,2.1047974,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-15 14:03:00.000,5ff4115b-ea80-4bd5-afce-2a5312bbd089,
13397,4,0,26,2022-02-13 20:34:00.000,230002,,2022-02-13 20:35:04.150,2022-02-13 20:35:04.150,26,1.5555556,20.84,1.3,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 20:34:59.999,bc3b7b6c-529b-190e-eb64-671c13c3dfc6,
55269,4,0,91,2022-02-13 22:01:00.000,,,2022-02-13 22:07:43.456,2022-02-13 22:07:43.456,91,1.2711837,70.257324,4.499527,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 22:02:00.000,df9f535f-9940-4470-8049-7ae3b8f3e26c,
1243,4,0,2,2022-02-15 13:56:00.000,230002,,2022-02-15 13:58:11.295,2022-02-15 13:58:11.295,2,1.2222222,1.52,0.1,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 13:56:59.999,c8575c69-1bd3-7a61-d9c9-53064f745835,
12108,4,0,19,2022-02-14 23:58:00.000,,,2022-02-14 23:58:28.101,2022-02-14 23:58:27.359,19,1.2092252,14.641602,0.9470825,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 23:59:00.000,d469e97e-f127-4439-8a53-d96d4865b783,
57477,4,0,100,2022-02-13 21:08:00.000,,,2022-02-13 21:08:59.552,2022-02-13 21:08:00.480,100,1.365455,78.48334,4.928505,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:09:00.000,5ce02e7b-281c-4c1d-96e5-a427a6c57153,
9764,4,0,19,2022-02-13 22:32:00.000,230002,,2022-02-13 22:33:10.634,2022-02-13 22:33:10.633,19,1.5833334,15.46,0.9,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:32:59.999,6d66255f-f641-15a0-2dc6-7832a714c036,
54406,4,0,81,2022-02-14 13:27:00.000,,,2022-02-14 13:28:22.913,2022-02-14 13:27:34.112,81,1.1241773,61.16211,4.09729,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 13:28:00.000,66c93ec7-6fcd-4f47-bc29-5b9c532fde3f,
17368,4,0,28,2022-02-13 21:27:00.000,,,2022-02-13 21:29:06.564,2022-02-13 21:27:28.988,28,1.2362343,21.47168,1.4012604,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:28:00.000,20101e4d-000d-48ea-b7e7-171929f7d098,
57748,4,0,99,2022-02-13 21:10:00.000,,,2022-02-13 21:12:06.408,2022-02-13 21:10:00.081,99,1.3395013,77.35431,4.893383,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:11:00.000,b24d7ff4-1927-4843-820c-3983a5719c12,
11118,4,0,20,2022-02-13 23:49:00.000,230002,,2022-02-13 23:49:41.417,2022-02-13 23:49:41.417,20,1.4444444,16.06,0.98,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 23:49:59.999,c943080c-b7e9-fde4-87cd-e6a48ed81e14,
933,4,0,2,2022-02-15 01:06:00.000,230002,,2022-02-15 01:08:05.368,2022-02-15 01:08:05.367,2,1.7777778,1.66,0.1,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 01:06:59.999,1bd66074-c621-c3d7-3c7b-a9947da2bb05,
