com.samsung.shealth.tracker.pedometer_day_summary,6211031,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5224,921313ef-2cfb-4319-a57e-e228cf7ef73e.binning_data.json,2782732,8000,10,2021-02-14 13:56:47.122,com.sec.android.app.shealth,2021-02-13 14:12:34.719,921313ef-2cfb-4319-a57e-e228cf7ef73e.source_info.json,1.5117037,4206.6675,263.79544,5214,VfS0qUERdZ,com.sec.android.app.shealth,0,921313ef-2cfb-4319-a57e-e228cf7ef73e.achievement.json,921313ef-2cfb-4319-a57e-e228cf7ef73e,1613174400000,
2348,aea42cd9-8183-4f7d-a8c4-542506a69658.binning_data.json,1253876,8000,10,2021-02-20 14:41:42.185,com.sec.android.app.shealth,2021-02-19 13:24:51.102,aea42cd9-8183-4f7d-a8c4-542506a69658.source_info.json,1.5253782,1912.6365,119.759254,2338,VfS0qUERdZ,com.sec.android.app.shealth,0,aea42cd9-8183-4f7d-a8c4-542506a69658.achievement.json,aea42cd9-8183-4f7d-a8c4-542506a69658,1613692800000,
587,d44e0d39-d4c0-463f-a071-181f82350a49.binning_data.json,376186,8000,0,2021-03-09 05:00:01.971,com.sec.android.app.shealth,2021-03-09 05:00:01.971,,1.2066859,453.93915,29.461758,587,Idp7XEd6un,com.sec.android.app.shealth,0,d44e0d39-d4c0-463f-a071-181f82350a49.achievement.json,d44e0d39-d4c0-463f-a071-181f82350a49,1615161600000,
6655,b0441365-d836-4dd2-bf33-1df85ce5407a.binning_data.json,3628726,8000,47,2021-05-23 15:44:05.569,com.sec.android.app.shealth,2021-05-22 13:11:42.412,b0441365-d836-4dd2-bf33-1df85ce5407a.source_info.json,1.4724247,5343.027,340.24445,6608,VfS0qUERdZ,com.sec.android.app.shealth,0,b0441365-d836-4dd2-bf33-1df85ce5407a.achievement.json,b0441365-d836-4dd2-bf33-1df85ce5407a,1621641600000,
1016,582ff0f3-2859-42e1-898d-297680deea61.binning_data.json,628727,8000,0,2021-05-08 04:05:24.199,com.sec.android.app.shealth,2021-05-08 04:05:24.199,,1.2533703,788.0277,50.533363,1016,Idp7XEd6un,com.sec.android.app.shealth,0,582ff0f3-2859-42e1-898d-297680deea61.achievement.json,582ff0f3-2859-42e1-898d-297680deea61,1620345600000,
1145,3e06ccac-efbd-40cf-a1d1-36be5bc908f0.binning_data.json,736050,8000,5,2021-06-13 04:00:01.958,com.sec.android.app.shealth,2021-06-13 04:00:01.958,,1.2123662,892.3623,57.900146,1140,Idp7XEd6un,com.sec.android.app.shealth,0,3e06ccac-efbd-40cf-a1d1-36be5bc908f0.achievement.json,3e06ccac-efbd-40cf-a1d1-36be5bc908f0,1623456000000,
3041,f25805df-17c3-473b-ab8a-2700a43fef46.binning_data.json,1834483,8000,0,2021-05-21 04:00:01.619,com.sec.android.app.shealth,2021-05-21 04:00:01.619,,1.2935226,2372.9458,150.7484,3041,Idp7XEd6un,com.sec.android.app.shealth,0,f25805df-17c3-473b-ab8a-2700a43fef46.achievement.json,f25805df-17c3-473b-ab8a-2700a43fef46,1621468800000,
1913,96aeb543-542d-46c8-b06c-71cc7b67f4a6.binning_data.json,1022722,8000,48,2021-02-24 05:00:04.444,com.sec.android.app.shealth,2021-02-23 05:00:04.789,,1.5115926,1545.94,99.7,1865,j9zBUHWfhn,com.sec.android.app.shealth,0,96aeb543-542d-46c8-b06c-71cc7b67f4a6.achievement.json,96aeb543-542d-46c8-b06c-71cc7b67f4a6,1613952000000,
2623,5ef5b655-ed21-4de0-b789-4a7a849a6a61.binning_data.json,1342215,8000,2,2021-01-22 13:38:55.921,com.sec.android.app.shealth,2021-01-21 13:38:33.709,5ef5b655-ed21-4de0-b789-4a7a849a6a61.source_info.json,1.5863079,2129.1672,132.0671,2621,VfS0qUERdZ,com.sec.android.app.shealth,0,5ef5b655-ed21-4de0-b789-4a7a849a6a61.achievement.json,5ef5b655-ed21-4de0-b789-4a7a849a6a61,1611187200000,
5833,bdc2e6ed-dd54-43bd-a7a1-804600ccc269.binning_data.json,3152425,8000,29,2021-04-18 04:00:02.807,com.sec.android.app.shealth,2021-04-17 04:00:03.119,,1.487143,4688.1084,296.29053,5804,j9zBUHWfhn,com.sec.android.app.shealth,0,bdc2e6ed-dd54-43bd-a7a1-804600ccc269.achievement.json,bdc2e6ed-dd54-43bd-a7a1-804600ccc269,1618531200000,
6659,a14ee515-d029-4d95-a4a8-f940577d47d7.binning_data.json,3557821,8000,98,2021-06-17 04:00:04.633,com.sec.android.app.shealth,2021-06-16 04:00:04.783,,1.5068506,5361.1055,342.9175,6561,j9zBUHWfhn,com.sec.android.app.shealth,0,a14ee515-d029-4d95-a4a8-f940577d47d7.achievement.json,a14ee515-d029-4d95-a4a8-f940577d47d7,1623715200000,
1382,9b0f2326-4a28-46bc-90ae-6295ec0d0927.binning_data.json,915027,8000,0,2021-03-11 05:00:01.222,com.sec.android.app.shealth,2021-03-11 05:00:01.222,,1.1565205,1058.2484,69.52628,1382,Idp7XEd6un,com.sec.android.app.shealth,0,9b0f2326-4a28-46bc-90ae-6295ec0d0927.achievement.json,9b0f2326-4a28-46bc-90ae-6295ec0d0927,1615334400000,
6636,ac9c9851-e07f-4eb7-90b8-2d57c2a617bf.binning_data.json,3460036,8000,112,2021-07-08 03:06:04.441,com.sec.android.app.shealth,2021-07-07 12:01:02.820,ac9c9851-e07f-4eb7-90b8-2d57c2a617bf.source_info.json,1.5456159,5347.8877,348.9247,6524,VfS0qUERdZ,com.sec.android.app.shealth,0,ac9c9851-e07f-4eb7-90b8-2d57c2a617bf.achievement.json,ac9c9851-e07f-4eb7-90b8-2d57c2a617bf,1625616000000,
6329,1de8cedc-0e28-4177-8cef-82fb168e4d27.binning_data.json,3285641,8000,93,2021-07-21 01:35:27.076,com.sec.android.app.shealth,2021-07-20 12:05:08.964,1de8cedc-0e28-4177-8cef-82fb168e4d27.source_info.json,1.5685947,5153.8394,332.4109,6236,VfS0qUERdZ,com.sec.android.app.shealth,0,1de8cedc-0e28-4177-8cef-82fb168e4d27.achievement.json,1de8cedc-0e28-4177-8cef-82fb168e4d27,1626739200000,
1033,5c771ed7-f489-4836-97fa-e2a742b71434.binning_data.json,713090,8000,0,2020-12-23 05:00:01.990,com.sec.android.app.shealth,2020-12-23 05:00:01.990,,1.1086073,790.5371,51.953857,1033,Idp7XEd6un,com.sec.android.app.shealth,0,5c771ed7-f489-4836-97fa-e2a742b71434.achievement.json,5c771ed7-f489-4836-97fa-e2a742b71434,1608595200000,
2498,4787956a-ed02-493d-95fd-8819f0a93309.binning_data.json,1264733,8000,2,2021-01-23 05:00:04.809,com.sec.android.app.shealth,2021-01-22 05:00:04.847,,1.6070025,2032.43,125.91,2496,j9zBUHWfhn,com.sec.android.app.shealth,0,4787956a-ed02-493d-95fd-8819f0a93309.achievement.json,4787956a-ed02-493d-95fd-8819f0a93309,1611187200000,
6537,a0d25d78-30bc-4c39-b77f-2d4a7e762be4.binning_data.json,3434972,8000,90,2021-07-08 04:00:40.257,com.sec.android.app.shealth,2021-07-07 04:00:04.472,,1.5276135,5247.31,337.56567,6447,j9zBUHWfhn,com.sec.android.app.shealth,0,a0d25d78-30bc-4c39-b77f-2d4a7e762be4.achievement.json,a0d25d78-30bc-4c39-b77f-2d4a7e762be4,1625529600000,
2579,7d884e2b-ec1d-4b6d-9636-871247797da8.binning_data.json,1529995,8000,6,2021-05-20 04:00:01.672,com.sec.android.app.shealth,2021-05-20 04:00:01.672,,1.3264458,2029.4565,127.75313,2573,Idp7XEd6un,com.sec.android.app.shealth,0,7d884e2b-ec1d-4b6d-9636-871247797da8.achievement.json,7d884e2b-ec1d-4b6d-9636-871247797da8,1621382400000,
5963,47b15bbb-7d1d-419e-a4bc-92bb727dd48d.binning_data.json,3158938,6000,21,2020-11-10 17:11:26.764,com.sec.android.app.shealth,2020-11-09 13:33:29.860,47b15bbb-7d1d-419e-a4bc-92bb727dd48d.source_info.json,1.5271223,4824.085,301.102,5942,VfS0qUERdZ,com.sec.android.app.shealth,0,47b15bbb-7d1d-419e-a4bc-92bb727dd48d.achievement.json,47b15bbb-7d1d-419e-a4bc-92bb727dd48d,1604880000000,
4622,6018c424-8069-4216-9aa3-40cd4a8a88b7.binning_data.json,2856150,8000,0,2021-06-20 04:00:01.628,com.sec.android.app.shealth,2021-06-20 04:00:01.628,,1.2591808,3596.4102,230.44397,4622,Idp7XEd6un,com.sec.android.app.shealth,0,6018c424-8069-4216-9aa3-40cd4a8a88b7.achievement.json,6018c424-8069-4216-9aa3-40cd4a8a88b7,1624060800000,
6322,697a5bb8-e745-4cc0-91e0-b8258b5bfb1c.binning_data.json,3305573,8000,517,2021-05-29 03:49:24.502,com.sec.android.app.shealth,2021-05-28 12:24:28.839,697a5bb8-e745-4cc0-91e0-b8258b5bfb1c.source_info.json,1.5973204,5280.06,359.20502,5805,VfS0qUERdZ,com.sec.android.app.shealth,0,697a5bb8-e745-4cc0-91e0-b8258b5bfb1c.achievement.json,697a5bb8-e745-4cc0-91e0-b8258b5bfb1c,1622160000000,
1313,b3939c65-13df-4dc8-9442-6c9bb6ceb426.binning_data.json,909332,8000,0,2021-07-07 04:00:01.867,com.sec.android.app.shealth,2021-07-07 04:00:01.867,,1.1162299,1015.0239,65.63162,1313,Idp7XEd6un,com.sec.android.app.shealth,0,b3939c65-13df-4dc8-9442-6c9bb6ceb426.achievement.json,b3939c65-13df-4dc8-9442-6c9bb6ceb426,1625529600000,
2601,5a5274da-ab71-41f5-bd91-f752877c3083.binning_data.json,1466226,8000,15,2021-02-11 13:19:03.269,com.sec.android.app.shealth,2021-02-10 13:18:42.668,5a5274da-ab71-41f5-bd91-f752877c3083.source_info.json,1.4172618,2078.027,133.90572,2586,VfS0qUERdZ,com.sec.android.app.shealth,0,5a5274da-ab71-41f5-bd91-f752877c3083.achievement.json,5a5274da-ab71-41f5-bd91-f752877c3083,1612915200000,
2357,786486da-371d-4bf8-8b0e-b129c5c68e5c.binning_data.json,1423560,8000,0,2021-07-16 04:00:03.372,com.sec.android.app.shealth,2021-07-16 04:00:03.372,,1.2957922,1844.6387,116.68445,2357,Idp7XEd6un,com.sec.android.app.shealth,0,786486da-371d-4bf8-8b0e-b129c5c68e5c.achievement.json,786486da-371d-4bf8-8b0e-b129c5c68e5c,1626307200000,
