com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
5251072,2021-04-05 02:13:27.234,2021-04-04 14:06:46.120,j9zBUHWfhn,com.sec.android.app.shealth,a8e85f0d-5c9c-33ff-65b5-f49f2be8306a,1617494400000,
329728,2022-01-11 23:59:20.249,2022-01-11 13:04:33.486,j9zBUHWfhn,com.sec.android.app.shealth,09de5bd8-db8c-91a4-ed21-81028d896904,1641859200000,
4800512,2021-09-13 02:25:53.253,2021-09-12 15:53:09.247,j9zBUHWfhn,com.sec.android.app.shealth,7ec512fa-d2da-4ac7-f422-6cfb5fb7cdce,1631404800000,
4231168,2021-05-31 02:25:36.232,2021-05-30 04:00:10.394,j9zBUHWfhn,com.sec.android.app.shealth,5cc1a1f7-34e5-7152-edf2-908403139669,1622332800000,
86016,2021-09-22 20:33:44.583,2021-09-22 12:07:56.534,j9zBUHWfhn,com.sec.android.app.shealth,256bb37b-6a2b-7991-b557-6d7b38352dc1,1632268800000,
4784128,2021-12-06 03:15:01.420,2021-12-05 14:19:58.915,j9zBUHWfhn,com.sec.android.app.shealth,4053fd8b-3d9b-cd6b-039d-ed4fc33942d4,1638662400000,
3211776,2021-09-21 01:01:06.240,2021-09-20 12:33:27.978,j9zBUHWfhn,com.sec.android.app.shealth,bef2ba60-7f65-0552-c0ef-1847ff66cccb,1632096000000,
2392064,2021-11-12 02:30:41.193,2021-11-11 12:28:04.985,j9zBUHWfhn,com.sec.android.app.shealth,8dc49ff1-e367-620d-c18e-a9c3ba5745e9,1636588800000,
1572864,2021-11-14 01:52:21.254,2021-11-13 13:15:35.357,j9zBUHWfhn,com.sec.android.app.shealth,0b2c515f-378f-f3f0-35cd-d2aa38dbc16a,1636761600000,
625152,2021-04-01 23:07:13.240,2021-04-01 12:36:57.845,j9zBUHWfhn,com.sec.android.app.shealth,defc8ef5-eb4a-5211-a290-54f2a8a9cd69,1617235200000,
100864,2020-11-11 21:54:12.653,2020-11-11 12:37:34.830,j9zBUHWfhn,com.sec.android.app.shealth,5775ddf1-a090-4440-1ac0-1237cc77bda4,1605052800000,
4279296,2021-06-30 02:11:08.240,2021-06-29 12:09:47.473,j9zBUHWfhn,com.sec.android.app.shealth,6a35307d-5d93-4463-9762-504b83c45c45,1624924800000,
4329984,2021-10-22 02:04:45.241,2021-10-21 11:08:03.128,j9zBUHWfhn,com.sec.android.app.shealth,0dba3b17-a6d5-05ae-e708-f0cacd19c14a,1634774400000,
1056768,2021-10-25 00:42:56.246,2021-10-24 12:21:43.302,j9zBUHWfhn,com.sec.android.app.shealth,7e072835-7f46-b221-084f-bf768a403cc6,1635033600000,
2789376,2022-01-05 02:07:14.257,2022-01-04 13:32:47.069,j9zBUHWfhn,com.sec.android.app.shealth,8d9e62cb-e8c5-a221-0a82-dc8483574843,1641254400000,
5658624,2022-02-17 03:12:37.299,2022-02-16 12:45:48.468,j9zBUHWfhn,com.sec.android.app.shealth,6000aa4e-b4ac-bf1f-57a8-c8c9aa997e18,1644969600000,
11046912,2021-10-03 03:08:48.242,2021-10-02 14:30:06.762,j9zBUHWfhn,com.sec.android.app.shealth,5a20b1f3-3495-71a8-3262-e147370cfb22,1633132800000,
1067008,2020-11-20 01:57:11.325,2020-11-19 12:39:49.589,j9zBUHWfhn,com.sec.android.app.shealth,a7d369aa-457d-feb8-aa0f-b581364919de,1605744000000,
5882880,2021-05-22 02:23:11.273,2021-05-21 12:03:49.614,j9zBUHWfhn,com.sec.android.app.shealth,5d20fb98-ae77-b739-2604-b8d75eb2b8e1,1621555200000,
