com.samsung.shealth.activity.goal,6211031,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-10-30 13:13:22.744,2020-10-30 13:13:22.744,60,UTC-0400,Idp7XEd6un,com.sec.android.app.shealth,1604063602729,c3d0ebd7-6715-4c58-8783-26908c73fa34,
2021-03-17 02:44:27.931,2021-03-17 02:44:27.931,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615949067916,4301919a-8f61-4db3-aee2-b1866f2d10e7,
2021-03-17 01:36:15.260,2021-03-17 01:36:15.260,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615944975242,b328a136-f3b6-4e59-96b1-783c87193105,
2021-03-17 01:41:45.277,2021-03-17 01:41:45.277,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945305245,36f90a1f-a7dc-4926-a977-ec875e07583c,
2021-03-17 02:24:04.239,2021-03-17 02:24:04.239,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615947844232,c796f1b2-1065-4145-b128-f20bc20da80f,
2021-03-15 17:58:44.479,2021-03-15 17:58:44.479,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615831124474,a1f53bfa-9355-4ab9-819d-da4685c4e1a8,
2021-03-17 02:38:35.663,2021-03-17 02:38:35.663,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615948715646,a66586a5-af6a-4a2c-90a1-da2945c54704,
2021-03-17 01:39:11.311,2021-03-17 01:39:11.311,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615945151306,cd3ef7dc-2ce5-45c9-ac5e-a6dc4e362157,
2021-03-14 02:56:48.624,2021-03-14 02:56:48.624,60,UTC-0800,Idp7XEd6un,com.sec.android.app.shealth,1615690608623,410cfa5c-c4c6-4b61-9305-15acccdbb7a0,
2021-03-17 02:37:11.199,2021-03-17 02:37:11.199,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615948631176,e5acf6ff-766a-4f55-8617-0113951a73eb,
2021-03-18 17:06:31.072,2021-03-18 17:06:31.072,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616087191069,377d480b-5820-45d8-a3f9-84eee15642cb,
2021-03-18 16:58:34.011,2021-03-18 16:58:34.011,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616086714003,5d481574-d6ed-4324-914d-bba7ea52c202,
2021-03-19 17:30:43.014,2021-03-19 17:30:43.014,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616175043010,9886cc52-937a-4414-ac09-0965db4bbdc3,
2021-03-19 17:34:12.942,2021-03-19 17:34:12.942,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616175252940,23b068a5-515d-4c2c-9968-129ce5763f88,
2021-03-17 03:12:03.285,2021-03-17 03:12:03.285,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615950723264,612a44a3-c249-4b7b-94d0-7f2cd018844c,
