com.samsung.shealth.exercise,6211031,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,87.0,0,,,,4,0,,,0,,0.0,,,,,1213940,,,19eee618-878a-b7a3-71de-181ed0d654a8.com.samsung.health.exercise.location_data.json,2020-12-15 17:12:43.440,1001,,,,,30001,,,,2020-12-15 17:34:01.396,2020-12-15 17:34:01.396,,1.6111112,,,1822,1415.36,,87.0,,,,UTC-0500,j9zBUHWfhn,,,19eee618-878a-b7a3-71de-181ed0d654a8.com.samsung.health.exercise.live_data.json,,1.3537209,com.sec.android.app.shealth,,,,2020-12-15 17:32:57.380,19eee618-878a-b7a3-71de-181ed0d654a8,,
04b8049b-6da6-64d8-ce53-aee38dfd18e4.live_data_internal.json,0,,78.0,0,,,,4,0,,,0,57,0.0,,,,,748660,,,,2022-03-14 04:33:39.960,1001,,,,96.0,30001,,,105.0,2022-03-14 04:47:43.591,2022-03-14 04:47:43.591,,1.7764621,,76.0,979,761.10077,,78.0,,,,UTC+0700,j9zBUHWfhn,,,04b8049b-6da6-64d8-ce53-aee38dfd18e4.com.samsung.health.exercise.live_data.json,,1.3407978,com.sec.android.app.shealth,,,,2022-03-14 04:46:08.620,04b8049b-6da6-64d8-ce53-aee38dfd18e4,,
,0,,104.0,0,,,,4,0,,,0,,0.0,,,,,642600,,,,2021-09-11 14:56:35.000,0,,,,,,,,,2021-09-11 15:08:20.244,2021-09-11 15:08:20.244,,,,,,,,104.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-09-11 15:07:17.600,9afff040-9615-8e3f-97a7-630462141f86,,
,0,,58.0,0,,,,4,0,,,0,,0.0,,,,,742260,,,,2021-05-13 22:16:49.960,1001,,,,,30001,,,,2021-05-13 22:30:14.419,2021-05-13 22:30:14.419,,1.9444444,,,1135,888.63,,58.0,,,,UTC-0400,j9zBUHWfhn,,,07cb3b11-c343-a45f-4d02-ed1b69f261be.com.samsung.health.exercise.live_data.json,,1.4016412,com.sec.android.app.shealth,,,,2021-05-13 22:29:12.220,07cb3b11-c343-a45f-4d02-ed1b69f261be,,
,0,,126.0,0,,,,4,0,,,0,,0.0,,,,,1652980,,,,2021-08-28 21:01:55.060,1001,,,,,30001,,,,2021-08-28 21:30:29.363,2021-08-28 21:30:29.363,,1.8055556,,,2326,1825.13,,126.0,,,,UTC-0400,j9zBUHWfhn,,,96e46069-d8cb-bf7e-b93d-9c263e32a337.com.samsung.health.exercise.live_data.json,,1.4658861,com.sec.android.app.shealth,,,,2021-08-28 21:29:28.040,96e46069-d8cb-bf7e-b93d-9c263e32a337,,
,0,,103.0,0,,,,4,0,,,0,,0.0,,,,,1218940,,,4835c3a5-b9a8-b97f-f410-90f975a8feb6.com.samsung.health.exercise.location_data.json,2020-11-22 22:23:32.040,0,,,,,,,,,2020-11-22 22:44:53.367,2020-11-22 22:44:53.367,,,,,,,,103.0,,,,UTC-0500,j9zBUHWfhn,,,4835c3a5-b9a8-b97f-f410-90f975a8feb6.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-11-22 22:43:50.980,4835c3a5-b9a8-b97f-f410-90f975a8feb6,,
17020254-dec6-ee10-c195-47374c894f44.live_data_internal.json,0,,143.0,0,,,,4,0,,,0,111,0.0,,,,,1373820,,,,2022-03-13 11:43:12.040,1001,,,,103.0,30001,,,114.0,2022-03-13 12:07:39.331,2022-03-13 12:07:39.331,,1.4722222,,93.0,1938,1494.379,,143.0,,,,UTC+0700,j9zBUHWfhn,,,17020254-dec6-ee10-c195-47374c894f44.com.samsung.health.exercise.live_data.json,,1.301666,com.sec.android.app.shealth,,,,2022-03-13 12:06:05.860,17020254-dec6-ee10-c195-47374c894f44,,
,0,,88.0,0,,,,4,0,,,0,,0.0,,,,,935180,,,,2021-06-14 20:22:24.320,0,,,,,,,,,2021-06-14 20:39:01.848,2021-06-14 20:39:01.848,,,,,,,,88.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-06-14 20:37:59.500,4fc73ba9-aa2a-d907-a18e-438fd23ecd10,,
,0,,178.51,0,,,,4,0,,,0,,0.0,,,,,664480,,,,2021-10-03 19:33:47.053,11007,,,,,,,,,2021-10-03 19:47:01.332,2021-10-03 19:47:01.332,,,,,,,,178.51,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-10-03 19:44:51.533,dbc7b2d7-262b-089e-5106-536239eeb384,,
,0,,179.0,0,,,,4,0,,,0,,0.0,,,,,2448380,,,c22c006e-f74f-642d-3d91-14d5d6536db3.com.samsung.health.exercise.location_data.json,2020-12-19 16:45:35.580,1001,,,,,30001,,,,2020-12-19 17:27:30.935,2020-12-19 17:27:30.935,,1.9166666,,,3496,2767.04,,179.0,,,,UTC-0500,j9zBUHWfhn,,,c22c006e-f74f-642d-3d91-14d5d6536db3.com.samsung.health.exercise.live_data.json,,1.4747539,com.sec.android.app.shealth,,,,2020-12-19 17:26:23.960,c22c006e-f74f-642d-3d91-14d5d6536db3,,
