com.samsung.health.floors_climbed,6211031,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-13 09:37:23.150,,2021-10-13 10:06:03.261,2021-10-13 10:06:03.183,1.0,UTC+0200,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-13 09:37:45.152,6ad4757c-ee85-be8f-722e-4e5b44c0fdb2,
2022-03-02 15:16:51.387,,2022-03-02 15:24:16.464,2022-03-02 15:24:16.414,1.0,UTC+0900,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-02 15:16:59.389,a12e6a4f-d914-3fc1-12b2-03021e87179f,
2021-10-09 12:39:22.711,,2021-10-09 13:00:57.772,2021-10-09 13:00:57.736,1.0,UTC+0200,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-09 12:39:31.713,da0f0c78-8b47-86b7-0fbe-6e3a6bff36d9,
2022-02-26 01:16:42.875,,2022-02-26 01:25:15.935,2022-02-26 01:25:15.896,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-26 01:16:54.876,f3c36af2-10ee-337f-f939-6f69804d8718,
2021-10-02 22:12:23.500,,2021-10-02 22:12:40.538,2021-10-02 22:12:40.507,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-02 22:12:37.505,5d301978-f0bc-2e4e-86b1-c81bf378ae72,
2021-12-11 20:59:33.051,,2021-12-11 21:01:33.099,2021-12-11 21:01:33.062,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-12-11 20:59:47.053,958bfcec-c8d3-3609-e428-afe539186447,
2022-03-04 13:39:10.546,,2022-03-04 13:40:00.585,2022-03-04 13:40:00.550,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-04 13:39:19.547,64f1dcb7-c9a8-b90e-f640-c18a96e1e9b4,
2022-02-27 23:28:32.085,,2022-02-27 23:30:22.170,2022-02-27 23:30:22.126,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-27 23:28:48.087,913c8bff-5803-9ea5-47fd-aa9857b044cc,
2021-11-14 17:51:49.370,,2021-11-14 17:52:17.418,2021-11-14 17:52:17.374,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-14 17:51:59.374,a404f284-9cdf-2616-d4ed-923a2a166ee5,
2022-03-01 00:30:35.386,,2022-03-01 00:31:23.427,2022-03-01 00:31:23.393,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-01 00:30:48.391,104c4503-84b5-da84-f423-5d1fd9034e0a,
