com.samsung.shealth.tracker.heart_rate,6211031,3
source,tag_id,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,21312,1,2022-03-06 08:40:29.321,,,2022-03-06 08:46:34.374,2022-03-06 08:46:34.374,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-06 08:40:29.321,bdc6e2be-abce-190f-8660-79de9943d07e,70.0,
,21312,1,2022-02-25 16:30:42.801,,,2022-02-25 16:32:52.432,2022-02-25 16:32:52.432,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-25 16:30:42.801,fd2db769-641d-263d-67eb-2a8b33fbc8c1,86.0,
,21312,1,2022-03-07 01:00:29.321,,,2022-03-07 01:08:34.298,2022-03-07 01:08:34.298,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-07 01:00:29.321,0c047fdd-cb58-cfd6-fb2c-7b7fd5c87652,65.0,
,21312,1,2022-02-25 23:00:29.381,,,2022-02-25 23:00:51.037,2022-02-25 23:00:51.037,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-25 23:00:29.381,caf7043c-ee0f-1bdf-f21d-4533d87136e1,82.0,
,21312,1,2022-03-10 12:50:29.360,,,2022-03-10 12:55:07.277,2022-03-10 12:55:07.277,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-10 12:50:29.360,76049ac5-32d7-ad90-47e5-0a4865d5be90,78.0,
,21312,1,2022-03-11 12:20:31.380,,,2022-03-11 12:22:58.360,2022-03-11 12:22:58.360,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-11 12:20:31.380,37c9a576-3b3b-6645-7635-00e31e3eb38b,69.0,
,21312,1,2022-03-07 08:50:29.261,,,2022-03-07 08:50:51.305,2022-03-07 08:50:51.305,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-07 08:50:29.261,d197f464-f5ff-cb84-91a0-616222807de3,68.0,
,21312,1,2022-02-26 15:20:48.460,,,2022-02-26 15:25:05.935,2022-02-26 15:25:05.935,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-26 15:20:48.460,1907b6ea-96bd-2d0a-9637-60c08e1e7b39,68.0,
,21312,1,2022-03-12 07:21:05.280,,,2022-03-12 07:24:07.445,2022-03-12 07:24:07.445,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-12 07:21:05.280,51b60f03-d8e9-025a-06c1-223b60760bf8,88.0,
,21312,1,2022-02-27 01:40:51.961,,,2022-02-27 01:42:00.449,2022-02-27 01:42:00.449,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-27 01:40:51.961,5095eae5-0e34-1483-6313-0bad30d71725,65.0,
,21312,1,2022-03-08 05:31:42.880,,,2022-03-08 05:32:22.381,2022-03-08 05:32:22.381,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-08 05:31:42.880,4860f339-f37f-e448-f139-c451735d9ab0,65.0,
,21312,1,2022-03-13 01:50:55.241,,,2022-03-13 01:55:05.270,2022-03-13 01:55:05.270,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-13 01:50:55.241,6e21e9cd-5c57-7867-b415-080fe23f1f19,66.0,
,21312,1,2022-02-27 18:10:59.140,,,2022-02-27 18:15:04.284,2022-02-27 18:15:04.284,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-27 18:10:59.140,0d807fa9-0df5-3f3e-e6d3-bb740113e739,76.0,
,21312,1,2022-02-24 19:30:55.860,,,2022-02-24 19:35:04.277,2022-02-24 19:35:04.277,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-24 19:30:55.860,8fff7376-a3ae-f1c0-22e2-8b2aadb447e6,80.0,
,21312,1,2022-02-28 01:30:44.340,,,2022-02-28 01:32:11.421,2022-02-28 01:32:11.421,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-28 01:30:44.340,af0a0da7-8527-e7f4-02a6-9dfaa7f77790,78.0,
,21312,1,2022-03-13 12:30:29.380,,,2022-03-13 12:30:42.343,2022-03-13 12:30:42.343,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-13 12:30:29.380,f8d81f3c-9929-b78d-cdb1-5517f2626295,71.0,
,21312,1,2022-03-09 03:21:01.441,,,2022-03-09 03:24:36.137,2022-03-09 03:24:36.137,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-09 03:21:01.441,4ba3c5c2-4132-2e39-9d0a-3d592fb5395d,73.0,
,21312,1,2022-02-28 20:50:29.321,,,2022-02-28 20:51:07.777,2022-02-28 20:51:07.777,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-28 20:50:29.321,edf7f2a5-07ea-4de2-254b-fcabec29df68,74.0,
,21312,1,2022-03-14 09:00:51.780,,,2022-03-14 09:10:13.646,2022-03-14 09:10:13.646,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-14 09:00:51.780,4125bace-0a4a-b570-9b2f-f18b7b687e12,59.0,
,21312,1,2022-02-25 01:40:57.140,,,2022-02-25 01:44:01.004,2022-02-25 01:44:01.004,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-25 01:40:57.140,8476869f-98df-a79e-84c6-edf948ae7b23,81.0,
,21312,1,2022-03-01 13:51:14.201,,,2022-03-01 13:55:08.371,2022-03-01 13:55:08.371,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-01 13:51:14.201,cac68ce2-b414-63e5-da80-b57235ac6dda,70.0,
,21312,1,2022-03-15 02:50:33.941,,,2022-03-15 02:55:09.237,2022-03-15 02:55:09.237,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-15 02:50:33.941,32dcee82-d760-081f-a585-a94373861db9,71.0,
,21312,1,2022-03-09 13:50:29.380,,,2022-03-09 13:50:46.297,2022-03-09 13:50:46.297,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-09 13:50:29.380,9b234fc6-1a3d-64ee-e509-abba7fefef40,66.0,
,21312,1,2022-03-01 21:50:55.321,,,2022-03-01 21:54:47.350,2022-03-01 21:54:47.350,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-01 21:50:55.321,db9712bd-631b-f188-a1be-20c7d3617470,63.0,
,21312,1,2022-03-16 02:20:29.361,,,2022-03-16 02:23:35.548,2022-03-16 02:23:35.548,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-16 02:20:29.361,b15ab92d-dede-ad6c-2d9e-1658091a8d90,76.0,
,21312,1,2022-02-25 17:50:47.020,,,2022-02-25 17:55:17.952,2022-02-25 17:55:17.952,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-25 17:50:47.020,70fd2771-92ff-9d19-e2ab-64725fb17da5,70.0,
,21312,1,2022-03-10 09:41:10.321,,,2022-03-10 09:41:29.300,2022-03-10 09:41:29.300,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-10 09:41:10.321,1b46b11b-e382-b482-a1f4-ff4ac9b46d7d,69.0,
,21312,1,2022-03-16 11:31:30.421,,,2022-03-16 11:34:19.334,2022-03-16 11:34:19.334,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-16 11:31:30.421,bab54ae1-a4f9-ac38-76ee-e42bcc1ba221,72.0,
,21312,1,2022-03-02 03:10:29.340,,,2022-03-02 03:15:17.407,2022-03-02 03:15:17.407,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 03:10:29.340,b085947d-eba2-2e2e-bdae-c4b3144deb3d,67.0,
,21312,1,2022-03-17 04:40:55.360,,,2022-03-17 04:55:12.317,2022-03-17 04:55:12.317,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-17 04:40:55.360,d0d2b31c-40fb-3103-bc7a-f88f04c2e4ee,62.0,
,21312,1,2022-02-26 00:20:51.860,,,2022-02-26 00:27:13.388,2022-02-26 00:27:13.388,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-26 00:20:51.860,2f0b3d64-289e-9639-0c00-d6be34507053,73.0,
,21312,1,2022-03-11 10:51:19.801,,,2022-03-11 10:51:41.329,2022-03-11 10:51:41.329,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-11 10:51:19.801,5b715d6c-e529-ff08-6874-6cf0ec8a603f,69.0,
,21312,1,2022-03-02 12:50:58.620,,,2022-03-02 12:55:15.307,2022-03-02 12:55:15.307,0.0,0.0,UTC+0900,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 12:50:58.620,b7f384d1-1051-e5e2-5897-4c9b10d869e0,70.0,
,21312,1,2022-03-03 03:11:17.741,,,2022-03-03 03:15:04.424,2022-03-03 03:15:04.424,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 03:11:17.741,86687e4a-e2c5-87a1-42a3-99f6f64bb517,72.0,
,21312,1,2022-02-26 18:51:36.200,,,2022-02-26 18:54:27.350,2022-02-26 18:54:27.350,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-26 18:51:36.200,3358bde8-6b8e-18f0-d63a-fd605da2f803,78.0,
,21312,1,2022-03-12 06:22:47.061,,,2022-03-12 06:35:12.621,2022-03-12 06:35:12.621,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-12 06:22:47.061,71bb61b8-d627-3be3-e68d-caa1b718da58,102.0,
,21312,1,2022-03-03 13:01:02.341,,,2022-03-03 13:10:15.771,2022-03-03 13:10:15.771,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 13:01:02.341,a31cf6a7-cc1e-848e-a3d0-ae94396b524f,65.0,
,21312,1,2022-02-27 03:10:56.560,,,2022-02-27 03:12:38.715,2022-02-27 03:12:38.715,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-27 03:10:56.560,ee224e27-4ab7-62cf-fe4e-7639591b65b6,73.0,
,21312,1,2022-03-04 09:30:52.361,,,2022-03-04 09:35:08.385,2022-03-04 09:35:08.385,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-04 09:30:52.361,c1eadc78-11f6-017b-359d-ca1797774112,69.0,
,21312,1,2022-03-13 00:22:45.921,,,2022-03-13 00:30:35.695,2022-03-13 00:30:35.695,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-13 00:22:45.921,e99cf92b-0e3f-91dd-679a-c4ee265afcbc,71.0,
,21312,1,2022-03-17 11:50:58.220,,,2022-03-17 11:55:06.307,2022-03-17 11:55:06.307,0.0,0.0,UTC+0900,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-17 11:50:58.220,535041e1-e0cc-69cd-6076-68b85755369a,64.0,
,21312,1,2022-03-05 03:40:54.780,,,2022-03-05 03:55:18.362,2022-03-05 03:55:18.362,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-05 03:40:54.780,19c7cc58-262a-73af-442c-3baaa093429e,71.0,
,21312,1,2022-02-27 19:20:36.601,,,2022-02-27 19:26:24.531,2022-02-27 19:26:24.531,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-27 19:20:36.601,ce194c0e-3cff-1ca4-d861-bbad5dbbf13c,79.0,
,21312,1,2022-03-05 13:40:35.960,,,2022-03-05 13:40:53.405,2022-03-05 13:40:53.405,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-05 13:40:35.960,936f43f4-cd76-6087-8f4b-9ff1cabe934f,72.0,
,21312,1,2022-03-13 09:20:54.721,,,2022-03-13 09:21:11.354,2022-03-13 09:21:11.354,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-13 09:20:54.721,b1e3966f-dba7-75ff-4ffd-68e14da3a318,66.0,
,21312,1,2022-03-06 12:30:32.140,,,2022-03-06 12:35:06.474,2022-03-06 12:35:06.474,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-06 12:30:32.140,4b76ed05-5226-d6ba-763d-283899bb4641,84.0,
